videoViewCount,videoLikeCount,favoriteCount,commentCount,videoPublishedAt,channelId,title,description,thumbnails,channelTitle,tags,categoryId,liveBroadcastContent,localized,defaultAudioLanguage,defaultLanguage,0,channel_title,channelViewCount,channelSubscriberCount,country
544212,14156,0,975,2021-07-23 10:26:20,UCz43BLa4tq0JvitUi6yAUNA,Drama T - Your Man (Official Video),"Stream/download #yourman  via 
https://backl.ink/147265272

#dramat #bantubwoy #yourman 
Director: John Elarts Under BantuBwoy Entertainment
Produced by: Endomike The Machine under Bantubwoy Entertainment

lyrics 
BABYKILLER YOUR FAVOURITE
(NANANANANA YEE)
DRAMA T IS ON THE BEAT 
(NANANANANA YEE)
Mbambona kenshi nikina 
Kuguha umutima Atanyinya 
ikinya kintera kwicuza 
nkashaka ibi Baba nkikoma 

